date,year,quarter,quarter_year,month_name,month_year,month_number,year_month
2007-06-01,2007,Q2,Q2-2007,June,Jun-2007,6,2007-06
2007-07-01,2007,Q3,Q3-2007,July,Jul-2007,7,2007-07
2007-08-01,2007,Q3,Q3-2007,August,Aug-2007,8,2007-08
2007-09-01,2007,Q3,Q3-2007,September,Sep-2007,9,2007-09
2007-10-01,2007,Q4,Q4-2007,October,Oct-2007,10,2007-10
2007-11-01,2007,Q4,Q4-2007,November,Nov-2007,11,2007-11
2007-12-01,2007,Q4,Q4-2007,December,Dec-2007,12,2007-12
2008-01-01,2008,Q1,Q1-2008,January,Jan-2008,1,2008-01
2008-02-01,2008,Q1,Q1-2008,February,Feb-2008,2,2008-02
2008-03-01,2008,Q1,Q1-2008,March,Mar-2008,3,2008-03
2008-04-01,2008,Q2,Q2-2008,April,Apr-2008,4,2008-04
2008-05-01,2008,Q2,Q2-2008,May,May-2008,5,2008-05
2008-06-01,2008,Q2,Q2-2008,June,Jun-2008,6,2008-06
2008-07-01,2008,Q3,Q3-2008,July,Jul-2008,7,2008-07
2008-08-01,2008,Q3,Q3-2008,August,Aug-2008,8,2008-08
2008-09-01,2008,Q3,Q3-2008,September,Sep-2008,9,2008-09
2008-10-01,2008,Q4,Q4-2008,October,Oct-2008,10,2008-10
2008-11-01,2008,Q4,Q4-2008,November,Nov-2008,11,2008-11
2008-12-01,2008,Q4,Q4-2008,December,Dec-2008,12,2008-12
2009-01-01,2009,Q1,Q1-2009,January,Jan-2009,1,2009-01
2009-02-01,2009,Q1,Q1-2009,February,Feb-2009,2,2009-02
2009-03-01,2009,Q1,Q1-2009,March,Mar-2009,3,2009-03
2009-04-01,2009,Q2,Q2-2009,April,Apr-2009,4,2009-04
2009-05-01,2009,Q2,Q2-2009,May,May-2009,5,2009-05
2009-06-01,2009,Q2,Q2-2009,June,Jun-2009,6,2009-06
2009-07-01,2009,Q3,Q3-2009,July,Jul-2009,7,2009-07
2009-08-01,2009,Q3,Q3-2009,August,Aug-2009,8,2009-08
2009-09-01,2009,Q3,Q3-2009,September,Sep-2009,9,2009-09
2009-10-01,2009,Q4,Q4-2009,October,Oct-2009,10,2009-10
2009-11-01,2009,Q4,Q4-2009,November,Nov-2009,11,2009-11
2009-12-01,2009,Q4,Q4-2009,December,Dec-2009,12,2009-12
2010-01-01,2010,Q1,Q1-2010,January,Jan-2010,1,2010-01
2010-02-01,2010,Q1,Q1-2010,February,Feb-2010,2,2010-02
2010-03-01,2010,Q1,Q1-2010,March,Mar-2010,3,2010-03
2010-04-01,2010,Q2,Q2-2010,April,Apr-2010,4,2010-04
2010-05-01,2010,Q2,Q2-2010,May,May-2010,5,2010-05
2010-06-01,2010,Q2,Q2-2010,June,Jun-2010,6,2010-06
2010-07-01,2010,Q3,Q3-2010,July,Jul-2010,7,2010-07
2010-08-01,2010,Q3,Q3-2010,August,Aug-2010,8,2010-08
2010-09-01,2010,Q3,Q3-2010,September,Sep-2010,9,2010-09
2010-10-01,2010,Q4,Q4-2010,October,Oct-2010,10,2010-10
2010-11-01,2010,Q4,Q4-2010,November,Nov-2010,11,2010-11
2010-12-01,2010,Q4,Q4-2010,December,Dec-2010,12,2010-12
2011-01-01,2011,Q1,Q1-2011,January,Jan-2011,1,2011-01
2011-02-01,2011,Q1,Q1-2011,February,Feb-2011,2,2011-02
2011-03-01,2011,Q1,Q1-2011,March,Mar-2011,3,2011-03
2011-04-01,2011,Q2,Q2-2011,April,Apr-2011,4,2011-04
2011-05-01,2011,Q2,Q2-2011,May,May-2011,5,2011-05
2011-06-01,2011,Q2,Q2-2011,June,Jun-2011,6,2011-06
2011-07-01,2011,Q3,Q3-2011,July,Jul-2011,7,2011-07
2011-08-01,2011,Q3,Q3-2011,August,Aug-2011,8,2011-08
2011-09-01,2011,Q3,Q3-2011,September,Sep-2011,9,2011-09
2011-10-01,2011,Q4,Q4-2011,October,Oct-2011,10,2011-10
2011-11-01,2011,Q4,Q4-2011,November,Nov-2011,11,2011-11
2011-12-01,2011,Q4,Q4-2011,December,Dec-2011,12,2011-12
2015-01-01,2015,Q1,Q1-2015,January,Jan-2015,1,2015-01
2015-02-01,2015,Q1,Q1-2015,February,Feb-2015,2,2015-02
2015-03-01,2015,Q1,Q1-2015,March,Mar-2015,3,2015-03
